id,title,body,asin,body_html,link,rating,vine_program,verified_purchase,helpful_votes,review_country,is_global_review,position,page,date.raw,date.utc,profile.name,profile.link,profile.id,profile.image,images,videos,attributes,attributes_flat
R3PJTWSPOOO4B4,Financial intelligence,"Great, great read. Very insightful and easy to understand. The author has a unique way of writing that is super humble , I am a fan",0857197681,"<span>Great, great read. Very insightful and easy to understand. The author has a unique way of writing that is super humble , I am a fan</span>",https://www.amazon.ca/gp/customer-reviews/R3PJTWSPOOO4B4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,2.0,ca,False,1,1,"Reviewed in Canada on May 18, 2024",2024-05-18T00:00:00.000Z,Peter A.,https://www.amazon.ca/gp/profile/amzn1.account.AF3QM6IZQ64YQIDLQZ7WDVK6WQAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AF3QM6IZQ64YQIDLQZ7WDVK6WQAA,,,,,
RKVHT9DHT15GV,Unlock the psychology behind your personal finances,"""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" is a thought-provoking book that provides valuable insights into the psychology behind personal finance. The author, Morgan Housel, presents a refreshing perspective on money and how it intersects with our lives, both practically and emotionally.  What stood out most to me was the engaging writing style, which made complex concepts easy to understand. Housel uses real-world examples to illustrate his points, making the book relatable and relevant. Additionally, the author's focus on the behavioral aspect of personal finance, rather than just the technical aspect, is insightful and refreshing.  However, if you are like me you may have expected some sort of actionable advice on managing money, this was not the case. While it provides a valuable understanding of the psychology behind money, it does not offer specific tips or strategies for managing one's finances.  I read this book on the Amazon Kindle Paperwhite, and it was a very enjoyable and seamless read on the device, showing that it was well adapted to the e-reader.  Overall, ""The Psychology of Money"" would be best suited for readers who are interested in understanding the intersection between money and psychology. It would be particularly useful for those who may struggle with managing their finances or those who are seeking a new perspective on personal finance. The book is a great read for those who want to gain a deeper understanding of the emotional and psychological drivers behind our financial decisions. This is a staple in a collection for building a better financial mindset.",0857197681,"<span>""The Psychology of Money: Timeless lessons on wealth, greed, and happiness"" is a thought-provoking book that provides valuable insights into the psychology behind personal finance. The author, Morgan Housel, presents a refreshing perspective on money and how it intersects with our lives, both practically and emotionally.<br><br>What stood out most to me was the engaging writing style, which made complex concepts easy to understand. Housel uses real-world examples to illustrate his points, making the book relatable and relevant. Additionally, the author's focus on the behavioral aspect of personal finance, rather than just the technical aspect, is insightful and refreshing.<br><br>However, if you are like me you may have expected some sort of actionable advice on managing money, this was not the case. While it provides a valuable understanding of the psychology behind money, it does not offer specific tips or strategies for managing one's finances.<br><br>I read this book on the Amazon Kindle Paperwhite, and it was a very enjoyable and seamless read on the device, showing that it was well adapted to the e-reader.<br><br>Overall, ""The Psychology of Money"" would be best suited for readers who are interested in understanding the intersection between money and psychology. It would be particularly useful for those who may struggle with managing their finances or those who are seeking a new perspective on personal finance. The book is a great read for those who want to gain a deeper understanding of the emotional and psychological drivers behind our financial decisions. This is a staple in a collection for building a better financial mindset.</span>",https://www.amazon.ca/gp/customer-reviews/RKVHT9DHT15GV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,30.0,ca,False,2,1,"Reviewed in Canada on April 5, 2023",2023-04-05T00:00:00.000Z,Jackson,https://www.amazon.ca/gp/profile/amzn1.account.AGRX2MNWIVLMP7HWUHVOHKYMUL2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AGRX2MNWIVLMP7HWUHVOHKYMUL2A,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/07283250-6010-4129-854e-63bda8fc3f8d._CR83,0,333,333_SX48_.jpg",,,,
R2Q7LBSRA55I80,quick review of decision making about money,I like the book. It gave a perspective of to be financially successful is to be patient. There are some great examples of how things can go horribly wrong if you don’t manage your greed.  However I found some chapters are very generic a general ( chapter about story). There are some over generalizations here and there. Overall it’s a good book to read,0857197681,<span>I like the book. It gave a perspective of to be financially successful is to be patient. There are some great examples of how things can go horribly wrong if you don’t manage your greed.<br><br>However I found some chapters are very generic a general ( chapter about story). There are some over generalizations here and there.<br>Overall it’s a good book to read</span>,https://www.amazon.ca/gp/customer-reviews/R2Q7LBSRA55I80/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,4,False,True,2.0,ca,False,3,1,"Reviewed in Canada on January 20, 2024",2024-01-20T00:00:00.000Z,Sadegh Hasanpour,https://www.amazon.ca/gp/profile/amzn1.account.AE7MR2TKQBPPX7LOT53534TYAYZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AE7MR2TKQBPPX7LOT53534TYAYZQ,,,,,
R15H2ASDSF6JGS,Wish I read this book sooner as an investor,"Very solid book that gives you the opportunity to think critically as an investor. I've read a lot of investing books and very few of them push you to think. Every investing book tells you that their strategy is the best or argues where their strategy is more preferred, but the reality is that everyone's lives and situations are different. As investor you have to look at your own situation and invest according to what will work for you. As explained in the book you always want to be careful who you take advice from, because often times people are playing a different game than you and taking that advice can lead you down a rough path.",0857197681,"<span>Very solid book that gives you the opportunity to think critically as an investor. I've read a lot of investing books and very few of them push you to think. Every investing book tells you that their strategy is the best or argues where their strategy is more preferred, but the reality is that everyone's lives and situations are different. As investor you have to look at your own situation and invest according to what will work for you. As explained in the book you always want to be careful who you take advice from, because often times people are playing a different game than you and taking that advice can lead you down a rough path.</span>",https://www.amazon.ca/gp/customer-reviews/R15H2ASDSF6JGS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,4.0,ca,False,4,1,"Reviewed in Canada on April 6, 2024",2024-04-06T00:00:00.000Z,Kobi,https://www.amazon.ca/gp/profile/amzn1.account.AGAU3HL2HADPVEKHQ32ZZRBAJH2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AGAU3HL2HADPVEKHQ32ZZRBAJH2A,,,,,
R3MYFUPI4NAAY1,Must read book with timeless lessons,"Great insights and lessons for all. Psycholology of Money: Timeless Lessons on Wealth, Greed and Happiness by Morgan Housel is a timeless work about how our feelings, emotions and interactions with money often results in different outcomes for different people – because people are different. So, insights into how to think and behave about money is instructive. The author explains in an easy way to understand for the reader financial concepts that should be thought in school.  Simple read, goes into short stories about finance geniuses and failures who we can all learn something from based on their behavior and what got them to be successful or fail in the finance realm. Touches on some key points and strategies when it comes to finance and investments and what one can actually accomplish to succeed with investments and finances. Very condensed, definitely worth a read if you are looking to learn some basics as well as important strategies to manage your earnings.",0857197681,"<span>Great insights and lessons for all. Psycholology of Money: Timeless Lessons on Wealth, Greed and Happiness by Morgan Housel is a timeless work about how our feelings, emotions and interactions with money often results in different outcomes for different people – because people are different. So, insights into how to think and behave about money is instructive. The author explains in an easy way to understand for the reader financial concepts that should be thought in school.<br><br>Simple read, goes into short stories about finance geniuses and failures who we can all learn something from based on their behavior and what got them to be successful or fail in the finance realm. Touches on some key points and strategies when it comes to finance and investments and what one can actually accomplish to succeed with investments and finances. Very condensed, definitely worth a read if you are looking to learn some basics as well as important strategies to manage your earnings.</span>",https://www.amazon.ca/gp/customer-reviews/R3MYFUPI4NAAY1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,10.0,ca,False,5,1,"Reviewed in Canada on December 14, 2023",2023-12-14T00:00:00.000Z,Frank,https://www.amazon.ca/gp/profile/amzn1.account.AHZ2GA2J6XWDWDSGVEHLO4UG5CFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AHZ2GA2J6XWDWDSGVEHLO4UG5CFQ,,,,,
R21R5CSQL022YG,Great foundation read,"If you’re looking to learn more about finances this is a great book to add to your library. It provides a unique perspective towards to understanding how the financial world works and how psychology plays a huge factor in this realm. Furthermore it indirectly helps to (re)build self-confidence towards how one looks and “feels” about their financial situation (past, present and future).  The author does an eloquent job to present the material in a way that make it easy to digest and apply what they read.",0857197681,"<span>If you’re looking to learn more about finances this is a great book to add to your library. It provides a unique perspective towards to understanding how the financial world works and how psychology plays a huge factor in this realm. Furthermore it indirectly helps to (re)build self-confidence towards how one looks and “feels” about their financial situation (past, present and future).<br><br>The author does an eloquent job to present the material in a way that make it easy to digest and apply what they read.</span>",https://www.amazon.ca/gp/customer-reviews/R21R5CSQL022YG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,6.0,ca,False,6,1,"Reviewed in Canada on January 28, 2024",2024-01-28T00:00:00.000Z,Wisedoll,https://www.amazon.ca/gp/profile/amzn1.account.AGULUIREBAHSINNFZEUXJFXLICYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AGULUIREBAHSINNFZEUXJFXLICYA,,,,,
R1FC32W3YG2GK0,Amazing book,I think everyone who needs to read this book. It explains the most complicated concepts in investing in the simplest and most understandable way.,0857197681,<span>I think everyone who needs to read this book. It explains the most complicated concepts in investing in the simplest and most understandable way.</span>,https://www.amazon.ca/gp/customer-reviews/R1FC32W3YG2GK0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,3.0,ca,False,7,1,"Reviewed in Canada on April 11, 2024",2024-04-11T00:00:00.000Z,navid rikhtegar,https://www.amazon.ca/gp/profile/amzn1.account.AEORVBRPQYBFFG4VM4OQLSJHMVBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AEORVBRPQYBFFG4VM4OQLSJHMVBQ,,,,,
R1QHTR1TCL16H3,One if the best books on personal finance I've ever read!,Great book. Very insightful!,0857197681,<span>Great book. Very insightful!</span>,https://www.amazon.ca/gp/customer-reviews/R1QHTR1TCL16H3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,,ca,False,8,1,"Reviewed in Canada on April 13, 2024",2024-04-13T00:00:00.000Z,Al,https://www.amazon.ca/gp/profile/amzn1.account.AE6A6AR4JQU3Z2JOPLO6KF4OHG6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AE6A6AR4JQU3Z2JOPLO6KF4OHG6A,,,,,
R1BT1AO7MZVMRY,Great book for the money obsessed.,This is a wonderful book. I heard an interview with the author on the Prof G podcast and decided to give it a read. It is the kind of book that will make you take a long hard look at your relationship with money and how it makes you feel. I came to realize I am the way I am largely because I grew up in a home where my father was constantly out of work and money was constantly a worry.  Great read if you want to better understand why you and everyone else behave the way you do with your money and how you can work to save more and be more financially successful.,0857197681,<span>This is a wonderful book. I heard an interview with the author on the Prof G podcast and decided to give it a read. It is the kind of book that will make you take a long hard look at your relationship with money and how it makes you feel. I came to realize I am the way I am largely because I grew up in a home where my father was constantly out of work and money was constantly a worry.<br><br>Great read if you want to better understand why you and everyone else behave the way you do with your money and how you can work to save more and be more financially successful.</span>,https://www.amazon.ca/gp/customer-reviews/R1BT1AO7MZVMRY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,,ca,False,9,1,"Reviewed in Canada on June 1, 2024",2024-06-01T00:00:00.000Z,David M,https://www.amazon.ca/gp/profile/amzn1.account.AGAH7SQMHRRRCEWZI6B6Y3UQHZGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AGAH7SQMHRRRCEWZI6B6Y3UQHZGQ,,,,,
R3ILHXLNBT4MX8,Excellent,"Excellent book. Easy to read, easy to digest. Highly recommend",0857197681,"<span>Excellent book. Easy to read, easy to digest. Highly recommend</span>",https://www.amazon.ca/gp/customer-reviews/R3ILHXLNBT4MX8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=0857197681,5,False,True,,ca,False,10,1,"Reviewed in Canada on June 6, 2024",2024-06-06T00:00:00.000Z,Cecily,https://www.amazon.ca/gp/profile/amzn1.account.AH2W7WDDS4F5YJ5FFQSTMZDNEI2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AH2W7WDDS4F5YJ5FFQSTMZDNEI2Q,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/7dc3f9cb-c9c5-4a7c-9d8e-4d31f9103a01._CR0,0,375,375_SX48_.jpg",[{'link': 'https://m.media-amazon.com/images/I/714Y4kCrcIL.jpg'}],,,
